0.1 -2 0
0.2 -2 0
0.3 -2 0
0.4 -2 0
0.5 -2 1.11563e-06
0.6 -1.99998 3.49382e-06
0.7 -1.99991 7.36711e-06
0.8 -1.99964 1.41358e-05
0.9 -1.99885 2.63624e-05
1 -1.99717 4.36907e-05
1.1 -1.99402 6.38347e-05
1.2 -1.98874 8.65381e-05
1.3 -1.98039 0.000121885
1.4 -1.96788 0.000163015
1.5 -1.95122 0.000213249
1.6 -1.92836 0.000296981
1.7 -1.89846 0.000338788
1.8 -1.85985 0.000465433
1.9 -1.80939 0.000626334
2 -1.74521 0.00100241
2.1 -1.66353 0.00127056
2.2 -1.54838 0.00397745
2.3 -1.3604 0.00653714
2.4 -1.21579 0.00376077
2.5 -1.10552 0.00207238
2.6 -1.02819 0.00142581
2.7 -0.962457 0.00106749
2.8 -0.907624 0.000896959
2.9 -0.859927 0.000785926
3 -0.817178 0.000743723
3.1 -0.780507 0.00066924
3.2 -0.746029 0.00061817
3.3 -0.71513 0.000561415
3.4 -0.685516 0.000531609
3.5 -0.660781 0.000506942
3.6 -0.637895 0.000514178
3.7 -0.614098 0.000467772
3.8 -0.594036 0.000454476
3.9 -0.574687 0.000444114
