0.1 -2 -35.845 -1.3538e+06 20.1733 19.8248 20.1833
0.2 -2 17.0722 -713720 9.9786 9.7071 9.53638
0.3 -2 -12.5323 -167439 6.73094 6.47991 6.60523
0.4 -2.00001 -21.62 -42565.4 4.90189 4.70865 4.92485
0.5 -2.00076 99.9231 -111787 3.56081 3.71109 2.71186
0.6 -2.00133 8.30334 34507 3.02472 3.22151 3.13848
0.7 -2.00307 -26.3395 31351.4 2.48019 2.54052 2.80391
0.8 -2.006 19.5759 7725.98 2.19651 2.35619 2.16043
0.9 -1.99967 -2.33828 -27518.3 2.16292 1.87261 1.89599
1 -1.99805 -38.3203 -11032.7 1.87854 1.54903 1.93223
1.1 -2.00933 37.28 1823.73 1.54902 1.76301 1.39021
1.2 -2.06808 -48.989 5600.05 1.2674 1.12326 1.61315
1.3 -2.23203 -42.1057 18711.1 0.891418 1.07616 1.49722
1.4 -2.18202 13.7432 9090.08 0.991486 1.28291 1.14548
1.5 0.127651 -8.77453 339.454 1.2103 1.17597 1.26372
1.6 -1.38754 -1.57442 0.981092 1.14264 1.1348 1.15055
1.7 -2.12038 23.1513 3741.64 0.828277 1.0792 0.847687
1.8 -1.82545 16.8827 -5381.59 1.066 0.932461 0.763634
1.9 -1.30978 -5.32376 708.897 1.00097 1.00634 1.05958
2 -2.04992 -4.85438 6290.07 0.678684 0.968916 1.01746
2.02 -1.94173 -7.66603 5429.28 0.714325 0.952915 1.02958
2.04 -1.65991 -8.00128 -1919.83 0.964781 0.824905 0.904918
2.06 -1.50705 -34.3064 -4481.83 0.947734 0.538463 0.881528
2.08 -1.6717 29.8668 -4027.03 1.00889 0.940443 0.641775
2.1 3.18277 3.90891 454.018 0.937536 0.982109 0.943019
2.12 -1.63294 -75.7789 -5057.78 0.876896 0.213856 0.971644
2.14 -1.58949 -39.0011 -2720.63 0.927956 0.577208 0.967219
2.16 -2.14479 6.38766 4297.35 0.563987 0.846547 0.78267
2.18 -1.59748 -6.27378 441.188 0.918942 0.913782 0.976519
2.2 -1.39082 38.071 -3230.69 0.914633 0.909532 0.528822
2.22 -1.30348 51.471 448.342 0.65186 0.936835 0.422125
2.24 -1.35821 14.1587 2172.03 0.694374 0.901397 0.759811
2.26 -3.16436 46.1819 5265.31 0.330431 0.897504 0.435685
2.28 -1.53349 -0.983236 49.3684 0.895428 0.89372 0.903552
2.3 -1.53755 18.2238 -1943.6 0.927443 0.890041 0.707803
2.32 -1.25475 46.9683 -4658.66 0.891244 0.812652 0.342969
2.34 -1.90348 -2.75097 513.188 0.887716 0.909086 0.936596
2.36 -1.4896 1.17736 237.346 0.878394 0.900805 0.889032
2.38 -1.49398 -3.21393 -1396.01 0.907032 0.792118 0.824257
2.4 -1.469 43.796 -2995.75 0.873532 0.876818 0.438858
2.42 -1.45421 0.474387 356.372 0.855412 0.883872 0.879128
2.44 -1.73031 -1.67057 4061.42 0.565393 0.859292 0.875997
2.46 -1.35576 -106.98 -6900.31 0.868422 -0.188451 0.881347
2.48 -1.15183 73.4751 -4786.25 0.86549 0.864899 0.130148
2.5 -3.73212 69.431 4154.88 0.1865 0.858255 0.163944
2.52 -1.41181 -0.873837 -44.4427 0.863405 0.855508 0.864246
2.54 4.32357 62.4758 -3926.81 0.857128 0.852829 0.228071
2.56 -1.39172 51.0089 -3214.23 0.726016 0.717751 0.207662
2.58 -1.32353 11.8222 634.077 0.735797 0.847666 0.729444
2.6 -1.23025 -1.75684 2401.11 0.641932 0.836042 0.853611
2.7 -1.31588 -0.808252 176.805 0.82152 0.833591 0.841673
2.8 -1.09207 -26.8882 -1333.19 0.827123 0.562029 0.830911
2.9 -1.15002 -0.746742 0.283213 0.817745 0.814041 0.821509
3 -1.08648 -0.702138 2012.15 0.583069 0.805924 0.812946
3.1 -1.13855 -3.96047 143.764 0.768318 0.765785 0.80539
3.2 19.3575 -70.7731 -2738.15 0.794841 0.0904916 0.798223
3.3 3.21308 1.70032 -85.4338 0.788596 0.785467 0.768464
3.4 -0.901226 0.305071 33.0847 0.782908 0.789214 0.786164
3.5 -0.918371 26.4267 931.717 0.499899 0.774701 0.510434
3.6 -0.832297 -24.4943 -737.252 0.772959 0.531052 0.775996
3.7 -0.814145 -32.2473 -925.31 0.768593 0.449013 0.771486
3.8 -0.467671 3.89984 -123.128 0.764577 0.761852 0.722853
3.9 -0.982372 7.46648 -64.0054 0.733056 0.758219 0.683555
4 -0.82555 -31.2306 -274.883 0.610757 0.399628 0.711933
