0.1 -2 -61.1211 -227615 19.6608 19.3268 19.938
0.2 -2 -3.74251 174763 10.0714 10.1401 10.1775
0.3 -2 -18.412 -128741 6.80686 6.56997 6.75409
0.4 -2 -63.1233 -1.09361e+06 5.17329 2.67044 3.30168
0.5 -2 -0.998571 0.02096 2.17364 2.16865 2.17864
0.6 -1.99997 165.034 184476 1.84131 3.49662 1.84629
0.7 -1.9999 -4.10223 -230100 3.03035 1.60048 1.6415
0.8 -1.99924 -0.969937 -137.385 1.43173 1.42578 1.43548
0.9 -1.99764 -0.945877 0.286939 1.29741 1.29269 1.30215
1 -1.99665 -0.912912 -78308.2 2.17288 1.18946 1.19859
1.1 -1.98761 -0.868908 0.480606 1.11292 1.10858 1.11727
1.2 -1.97679 -0.908436 26.1638 1.04898 1.04491 1.05399
1.3 -1.96053 -0.756034 0.628948 0.9985 0.994733 1.00229
1.4 -1.93794 -0.69173 0.6475 0.958672 0.955229 0.962147
1.5 -1.90861 -0.62743 0.627582 0.927237 0.924118 0.930392
1.6 -1.92423 -0.567654 -16314.7 1.42442 0.899515 0.905192
1.7 -1.83093 -0.516217 0.463231 0.882423 0.879859 0.885021
1.8 -1.78436 -0.475542 0.349323 0.866237 0.863874 0.868629
1.9 -1.82877 -1.84685 0.38241 1.24303 1.23381 1.25228
2 -1.78884 -1.80631 0.426963 1.19494 1.18593 1.20399
2.02 -1.78048 -1.79769 0.43481 1.18602 1.17705 1.19503
2.04 -1.77201 -1.78892 0.44227 1.17731 1.16839 1.18628
2.06 -1.76343 -1.78 0.449333 1.16882 1.15994 1.17774
2.08 -1.75476 -1.77094 0.45599 1.16053 1.1517 1.16941
2.1 -1.74599 -1.76176 0.462237 1.15244 1.14366 1.16128
2.12 -1.73714 -1.75246 0.468069 1.14455 1.13582 1.15334
2.14 -1.72822 -1.74304 0.473485 1.13685 1.12816 1.14559
2.16 -1.71922 -1.73352 0.478486 1.12932 1.12068 1.13802
2.18 -1.71016 -1.7239 0.483074 1.12198 1.11339 1.13063
2.2 -1.70104 -1.7142 0.487252 1.11481 1.10627 1.12341
2.22 -1.69187 -1.70441 0.491026 1.10781 1.09932 1.11636
2.24 -1.68265 -1.69456 0.494401 1.10098 1.09254 1.10948
2.26 -1.6734 -1.68464 0.497386 1.0943 1.08591 1.10276
2.28 -1.66411 -1.67467 0.499989 1.08778 1.07944 1.09619
2.3 -1.65479 -1.66464 0.50222 1.08141 1.07312 1.08977
2.32 -1.64545 -1.65458 0.50409 1.07519 1.06695 1.0835
2.34 -1.63609 -1.64448 0.505609 1.06912 1.06093 1.07737
2.36 -1.62672 -1.63436 0.506789 1.06318 1.05504 1.07139
2.38 -1.61735 -1.62421 0.507642 1.05738 1.04929 1.06553
2.4 -1.60797 -1.61406 0.50818 1.05171 1.04367 1.05981
2.42 -1.5986 -1.60389 0.508416 1.04617 1.03818 1.05422
2.44 -1.58923 -1.73635 -9.07414 1.04075 1.03139 1.04876
2.46 -1.57996 -1.58356 1.47922 1.03538 1.02758 1.04341
2.48 -1.57054 -1.57627 0.320689 1.03028 1.02243 1.03819
2.5 -1.56122 -1.56326 0.506589 1.02522 1.01745 1.03308
2.52 -1.55192 -1.55314 0.505502 1.02028 1.01255 1.02808
2.54 -1.54265 -1.54304 0.504188 1.01544 1.00776 1.02319
2.56 -1.53341 -1.53298 0.502659 1.01071 1.00308 1.01841
2.58 -1.5242 -1.52294 0.500926 1.00608 0.998508 1.01374
2.6 -1.51503 -1.51294 0.499001 1.00155 0.994032 1.00916
2.7 -1.46981 -1.46362 0.486871 0.98035 0.973077 0.987713
2.8 -1.42584 -1.41568 0.48991 0.961303 0.954272 0.968429
2.9 -1.38288 -1.36941 1.3928 0.944054 0.937354 0.951048
3 -1.34237 -1.32498 0.434717 0.928667 0.922091 0.93534
3.1 -1.30308 -1.2825 0.414881 0.914647 0.908284 0.921109
3.2 -1.26545 -1.24201 0.39479 0.901922 0.895762 0.908183
3.3 -1.2295 -1.20354 0.374825 0.890342 0.884375 0.896411
3.4 -1.19518 -1.16704 0.355266 0.879778 0.873994 0.885664
3.5 -1.16245 -1.13247 0.336316 0.870116 0.864505 0.87583
3.6 -1.13125 -1.09976 0.318112 0.861258 0.855811 0.866808
3.7 -1.10152 -1.06882 0.300742 0.853117 0.847825 0.858513
3.8 -1.07319 -7.24634 -171.648 0.84562 0.778406 0.850869
3.9 -1.04618 -1.01195 0.268669 0.838698 0.83369 0.843809
4 -1.02044 -0.985824 0.253984 0.832295 0.827417 0.837275
